pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
TOI-1272 c,TOI-1272,,,8.6811,,5065.0,Radial Velocity,2022.0
HD 20794 d,HD 20794,,,89.68,,5368.0,Radial Velocity,2011.0
TOI-375 b,TOI-375,236.78216321,10.77183045,9.45469,1373.0,5259.9,Transit,2026.0
TOI-1246 d,TOI-1246,5.4,3.43139739,18.654874,587.77,5213.0,Transit,2022.0
GJ 436 b,GJ 436,22.1,4.17,2.64388312,,,Radial Velocity,2004.0
KELT-14 b,KELT-14,408.09372,19.537287,1.7100566,1970.0,5720.0,Transit,2016.0
KELT-16 b,KELT-16,874.0325,15.860735,0.9689951,2453.0,6236.0,Transit,2017.0
KELT-9 b,KELT-9,915.3504,21.196219,1.4811235,4050.0,10170.0,Transit,2017.0
Kepler-68 b,Kepler-68,8.03,2.357,5.39875259,1275.0,5847.0,Transit,2013.0
Kepler-1624 b,Kepler-1624,,5.7,3.290304518,,3636.0,Transit,2016.0
LHS 1678 c,LHS 1678,,0.941,3.694284,,3490.0,Transit,2021.0
WASP-52 b,WASP-52,146.2,14.24,1.7497798,1315.0,5000.0,Transit,2012.0
WASP-64 b,WASP-64,403.945,14.247,1.5732918,1689.0,5400.0,Transit,2012.0
WASP-65 b,WASP-65,492.62,12.464,2.3114243,1480.0,5600.0,Transit,2013.0
WASP-75 b,WASP-75,340.06,14.235,2.484193,1710.0,6100.0,Transit,2013.0
WASP-1 b,WASP-1,271.415,16.623,2.5199454,,,Transit,2007.0
WASP-8 c,WASP-8,,,4323.0,,,Radial Velocity,2013.0
TOI-6695 b,TOI-6695,66.74396547,9.52763359,80.389,599.0,6400.0,Transit,2025.0
KELT-20 b,KELT-20,1074.90106,19.514869,3.4741085,2262.0,8720.0,Transit,2017.0
PSR J2322-2650 b,PSR J2322-2650,,,0.322963997,,,Pulsar Timing,2017.0
Qatar-1 b,Qatar-1,411.27202,12.811887,1.4200242,1418.0,5013.0,Transit,2010.0
TrES-2 b,TrES-2,473.5667,15.24424,2.47063,,5850.0,Transit,2006.0
HAT-P-15 b,HAT-P-15,616.5902,11.88154,10.8635,,5568.0,Transit,2010.0
HAT-P-22 b,HAT-P-22,785.0401,12.89035,3.21222,,5302.0,Transit,2010.0
TrES-1 b,TrES-1,266.9772,12.66617,3.03007,,5230.0,Transit,2004.0
HAT-P-3 b,HAT-P-3,206.5895,10.53646,2.8997,,5185.0,Transit,2007.0
HAT-P-5 b,HAT-P-5,311.4734,13.56289,2.78849,,5960.0,Transit,2007.0
HAT-P-6 b,HAT-P-6,419.5356,16.58932,3.85298,,6570.0,Transit,2007.0
WASP-8 b,WASP-8,807.2882,12.66617,8.15872,,5600.0,Transit,2010.0
XO-1 b,XO-1,263.7989,12.77826,3.94153,,5750.0,Transit,2006.0
WASP-26 b,WASP-26,270.1555,13.56289,2.7566,,6034.0,Transit,2010.0
WASP-35 b,WASP-35,225.6593,14.5717,3.16158,,5990.0,Transit,2011.0
WASP-28 b,WASP-28,282.54945382,13.66374747,3.40883495,1456.0,,Transit,2014.0
